"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 19 12:06:24 CST 2020","Thu Mar 19 12:06:25 CST 2020","1056","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dingDingUser[userId=-120048633333525706-id为蔡延伟]","
        钉钉——获取用户详情
        :return:
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","130","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-795365530]","
        钉钉-获取角色详情
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","191","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365515]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","186","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365517]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:27 CST 2020","91","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-242129987]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:28 CST 2020","422","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingGetUserLeader[userId=-061052015035430487-id为谢玉霞]","
        钉钉-获取用户上级详情
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","166","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:26 CST 2020","Thu Mar 19 12:06:26 CST 2020","176","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleStaffList[roleId=-795365509]","
        钉钉-获取角色下员工列表
        "
"passed","Thu Mar 19 12:06:25 CST 2020","Thu Mar 19 12:06:25 CST 2020","101","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_get_user_dindDingDeptMember[deptId=-243154034]","
        钉钉-获取部门下用户列表
        "
"passed","Thu Mar 19 12:06:27 CST 2020","Thu Mar 19 12:06:27 CST 2020","93","TestSuite.im_select_dept_role","test_select_dept_role","Test_case","","","test_post_user_dingDingRoleDetail[roleId=-947684115]","
        钉钉-获取角色详情
        "
